image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140BCD,0.0
test001_2.jpg,B2407UZO,B2407UZD,0.125
test001_3.jpg,B2842PKM,B2842PKM0225,0.5
test002_1.jpg,BG1352AE,BG1352AE,0.0
test003_1.jpg,B2634UZF,B2634UZF0926,0.5
test003_2.jpg,B1995JVK,B1995JVK0128,0.5
test004_1.jpg,B9062VEH,89062VEH,0.125
test005_1.jpg,DD8798KM,DD3798KM,0.125
test006_1.jpg,T1329KC,T1329KC,0.0
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1157AAB0125,0.4444
test008_2.jpg,AA1997FE,AA1997FE,0.0
test009_1.jpg,H8518NA,H8518NA,0.0
test009_2.jpg,K1649GB,K1649GB0825,0.5714
test010_1.jpg,B9416PCN,B9416PCN,0.0
test010_2.jpg,H1147UY,H1147UY,0.0
test011_1.jpg,H1691IL,H1691IL0927,0.5714
test011_2.jpg,B9374RI,B9374BI0124,0.7143
test011_3.jpg,D1204AIG,D1204AIG1224,0.5
test012_1.jpg,E1887BA,E1887BA0425,0.5714
test013_1.jpg,B1439UZP,B1439UZP0623,0.5
test013_2.jpg,B1128WOS,B1128W0S,0.125
test014_1.jpg,B1388DFX,B1388DFXDB27,0.5
test015_1.jpg,AD1798BT,AD1798BT,0.0
test016_1.jpg,E1517DQ,E1517DQ,0.0
test017_1.jpg,AD8982FS,AD8982FS0923,0.5
test018_1.jpg,L7603UA,L7603UA,0.0
test019_1.jpg,AD7HS,AD7HS0236,0.8
test019_2.jpg,B1959WYK,B1959WYK0327,0.5
test020_1.jpg,AG8634EK,AC8634EK,0.125
test020_2.jpg,AD1329PY,AD1328PY0228,0.625
test021_1.jpg,BA1709DW,BA1709DW,0.0
test021_2.jpg,W1236VZ,W1236VZ,0.0
test022_1.jpg,W1825OZ,W18250Z,0.1429
test022_2.jpg,L1202UE,L1202UE,0.0
test022_3.jpg,L3823IB,L3823100224,0.8571
test023_1.jpg,B1730JLO,B1730JL0,0.125
test024_1.jpg,B2964TRU,B2964TRU1226,0.5
test025_1.jpg,S5585LP,S5585LP1023,0.5714
test025_2.jpg,L2858RR,L2850RR,0.1429
test025_3.jpg,W1185ZO,W1185Z0,0.1429
test025_4.jpg,9840VU,9840VU,0.0
test026_1.jpg,N9652DF,N9652DE,0.1429
test026_2.jpg,L3836ZX,L3836ZX1125,0.5714
test027_1.jpg,N1905IG,N1905IG,0.0
test027_2.jpg,B1109CLR,B1109CLR0328,0.5
test027_3.jpg,L1840AA,L1840AA,0.0
test028_1.jpg,L1438EO,L1438E0,0.1429
test028_2.jpg,L1436AAA,L1436AA1,0.125
test029_1.jpg,W1518WF,W1516,0.4286
test029_2.jpg,G1986N,G1986N,0.0
test029_3.jpg,L1588OO,L158800,0.2857
test029_4.jpg,L1436AAA,L1436AAA,0.0
test030_1.jpg,S8062NF,S8062NF1024,0.5714
test030_2.jpg,G1894TE,G1894TE0325,0.5714
test031_1.jpg,L1560JQ,L1560JQ,0.0
test031_2.jpg,L1568Q0,L1568Q0,0.0
test031_3.jpg,L1932AAZ,L1932AAZ,0.0
test032_1.jpg,B2754SKY,B2754SKY0926,0.5
test032_2.jpg,W1192K,W1192K,0.0
test033_1.jpg,L4561VK,L4561VK0627,0.5714
test033_2.jpg,L2693GA,L2693CA1024,0.7143
test033_3.jpg,W9847G,W0847G,0.1667
test033_4.jpg,L1762ABJ,1762ABJ0427,0.625
test034_1.jpg,L1811SU,L1811SU,0.0
test034_2.jpg,W1167V0,N1167V8,0.2857
test034_3.jpg,S61310CF,S6131QCF,0.125
test034_4.jpg,L2570AAD,L2570AAD1128,0.5
test035_1.jpg,L9643NN,L9643NN1127,0.5714
test035_2.jpg,L5247GI,L5247CI1225,0.7143
test035_3.jpg,L2498AAM,L2498AAM1220,0.5
test035_4.jpg,W1696YO,W1696YO,0.0
test036_1.jpg,B1231JJA,B1231JJA0226,0.5
test036_2.jpg,B1618UAE,B1618UAE0826,0.5
test037_1.jpg,L1775V0,L1775V0,0.0
test037_2.jpg,L300RX,L300RX,0.0
test037_3.jpg,L1879VG,L1879VG0426,0.5714
test038_1.jpg,D1523YCN,D1523YCN0128,0.5
test038_2.jpg,L1877ACU,L1877ACU0228,0.5
test039_1.jpg,L1069VK,L1069VK,0.0
test040_1.jpg,S1595LL,S1595LL0726,0.5714
test041_1.jpg,B1231JJA,B1231JJA0226,0.5
test042_1.jpg,AD1174SF,AD1174SF,0.0
test043_1.jpg,W1898YW,W1898YW0228,0.5714
test043_2.jpg,W1470PG,W1470PG,0.0
test044_1.jpg,L1930KF,L1930KF1124,0.5714
test044_2.jpg,N1004HE,N1004HE0427,0.5714
test045_1.jpg,S1347LJ,S1347LJ0526,0.5714
test046_1.jpg,L1470ABK,L1470ABK,0.0
test046_2.jpg,L1265MX,L1265MX0924,0.5714
test047_1.jpg,N1524SY,N1524SY0826,0.5714
test047_2.jpg,L1678ACE,L1678ACE,0.0
test048_1.jpg,L9316BC,L9316BC,0.0
test048_2.jpg,W1838AY,W1838AY,0.0
test049_1.jpg,N1376DE,N1376DE,0.0
test049_2.jpg,N79AP,N79AP,0.0
test050_1.jpg,L1265OF,L1265OF,0.0
test050_2.jpg,N1095G,N1095G,0.0
test051_1.jpg,N1718HC,N1718HC,0.0
test052_1.jpg,N6497KS,N6L97KS,0.1429
test052_2.jpg,N5235ABX,N5235ABX0620,0.5
test052_3.jpg,N4980KJ,N4980KJ,0.0
test053_1.jpg,N1365AAO,N1365AA0,0.125
test054_1.jpg,N1077AAK,N1077AAK,0.0
test054_2.jpg,N1084AAO,N1084AA0,0.125
test055_1.jpg,N1610KS,N1610KS,0.0
test056_1.jpg,N924CIA,N924CIA0927,0.5714
test056_2.jpg,N1623HB,N1623HB0425,0.5714
test056_3.jpg,L1430HF,L1430HF,0.0
test057_1.jpg,N1342T,N1342T0328,0.6667
test057_2.jpg,N4145AB,N4145AB042,0.4286
test057_3.jpg,N1396AAH,N1396AAH0626,0.5
test058_1.jpg,N3153ACB,N3153ACB1026,0.5
test058_2.jpg,N5829KJ,W5829KJ,0.1429
test058_3.jpg,N1780JL,N1780JL,0.0
test059_1.jpg,W8774PA,W8774PA0426,0.5714
test059_2.jpg,B9162FXU,B9162FXU0524,0.5
test060_1.jpg,L1846JE,L1846JE0424,0.5714
test060_2.jpg,M1457ITA,M1457ITA,0.0
test061_1.jpg,AA1971KJ,AA1971KJ0127,0.5
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,B9654PEU,0.0
test062_2.jpg,AE7244S,AE7244S,0.0
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G0624,0.5714
test065_1.jpg,H1706SW,H1706SW1126,0.5714
test066_1.jpg,T1220HS,T1220HSI,0.1429
test066_2.jpg,H1790ZY,H1790ZYG428,0.5714
test067_1.jpg,L1855BR,L1855BR0327,0.5714
test067_2.jpg,AB1274EV,AB1274EV,0.0
test068_1.jpg,B2310UZS,B2310UZS,0.0
test068_2.jpg,G1264CM,G1264CM0228,0.5714
test069_1.jpg,AA1138AK,AA1138AK0827,0.5
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,B2597BYK1123,0.5
test071_1.jpg,G9545AG,G9545AG1023,0.5714
test072_1.jpg,BG1870IB,BG1870IB,0.0
test073_1.jpg,T1187HB,1187HB0725,0.7143
test073_2.jpg,A1330FP,A1330FP,0.0
test074_1.jpg,G1368GE,G1368GE0427,0.5714
test074_2.jpg,B1081CMR,B1081CMR,0.0
test075_1.jpg,G2474XZ,G2474XZ,0.0
test075_2.jpg,G9173BP,G9173BP,0.0
test075_3.jpg,7066OF,ZU66JF,0.5
test076_1.jpg,G2151ASF,G2151ASF0724,0.5
test076_2.jpg,E500MA,E500MA,0.0
test076_3.jpg,G4689SN,G489SN,0.1429
test077_1.jpg,G1754QZ,G1754QZ,0.0
test078_1.jpg,H1413DH,H1413DH0626,0.5714
test079_1.jpg,T1688GY,T1688GY0528,0.5714
test079_2.jpg,A1260AJ,A1260AJ,0.0
test080_1.jpg,D77HSB,D77HSB1127,0.6667
test080_2.jpg,B1861TOI,B1861T0J,0.25
test080_3.jpg,D1160ADE,D1160ADE0525,0.5
test081_1.jpg,F8097BD,F8097BD,0.0
test081_2.jpg,F1992AM,F1992AM,0.0
test082_1.jpg,E1824YZ,E1824YZ0723,0.5714
test082_2.jpg,B9093UEX,B9093UEX,0.0
test083_1.jpg,F5052AAE,F5052AAE0227,0.5
test083_2.jpg,F5452CQ,F5452CO1023,0.7143
test084_1.jpg,B1158PYP,B1158PYP0826,0.5
test084_2.jpg,B1242VOY,B1242VOY,0.0
test085_1.jpg,B1315KIF,B1315KIF0326,0.5
test085_2.jpg,B2938FVJ,B2938FVJ,0.0
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test086_1.jpg,B1291NOJ,B1291N0J,0.125
test086_2.jpg,B1556NRC,B1556NRC0427,0.5
test087_1.jpg,B6823WXR,B6823WXR,0.0
